1.IMU_yaw(deg),2.IMU_diff (deg),3.Max Degree(deg),4.Mag dx(px)
134.9425,0.3866,92.0,12.0
134.5726,0.3699,93.0,5.0
134.2298,0.3429,93.0,10.0
133.9162,0.3135,93.0,5.0
133.6468,0.2694,91.0,9.0
133.2503,0.3965,85.0,8.0
133.1146,0.1356,93.0,3.0
133.0066,0.1081,85.0,5.0
132.9214,0.0852,80.0,5.0
132.8522,0.0692,80.0,2.0
132.7854,0.0668,88.0,3.0
132.7378,0.0476,112.0,2.0
132.6967,0.041,99.0,1.0
132.6637,0.033,108.0,1.0
132.6326,0.0311,92.0,1.0
132.6016,0.031,101.0,1.0
132.5411,0.0604,121.0,1.0
132.5149,0.0262,128.0,1.0
132.4928,0.0221,113.0,1.0
132.4666,0.0262,146.0,3.0
132.4511,0.0154,165.0,4.0
132.4357,0.0154,76.0,1.0
132.4309,0.0048,81.0,2.0
132.4472,0.0163,84.0,3.0
-136.2484,268.6957,77.0,29.0
-136.2396,0.0088,77.0,1.0
-136.2238,0.0158,53.0,1.0
-136.2039,0.0199,56.0,1.0
-136.19,0.0139,46.0,1.0
-136.1719,0.0181,54.0,2.0
-136.1523,0.0196,58.0,2.0
-136.1324,0.0199,51.0,1.0
-136.1229,0.0095,78.0,1.0
-136.1128,0.0101,99.0,1.0
-136.1053,0.0075,103.0,1.0
-136.0974,0.0078,84.0,1.0
-136.0856,0.0118,60.0,1.0
-136.0742,0.0114,67.0,2.0
-136.0584,0.0158,85.0,2.0
-136.0457,0.0127,101.0,1.0
-136.04,0.0057,105.0,2.0
-136.0341,0.0059,88.0,1.0
-136.0196,0.0145,85.0,2.0
-136.0,0.0196,84.0,2.0
-135.9933,0.0067,79.0,1.0
-135.9778,0.0155,65.0,2.0
-135.9635,0.0144,69.0,2.0
-135.9523,0.0112,78.0,1.0
-135.9409,0.0114,71.0,2.0
-135.9264,0.0145,63.0,1.0
-135.9136,0.0128,63.0,3.0
-135.9048,0.0088,93.0,3.0
-135.9033,0.0015,111.0,1.0
-135.8972,0.0061,119.0,3.0
-135.882,0.0152,105.0,1.0
-135.8669,0.0151,86.0,3.0
-135.8611,0.0058,72.0,3.0
-135.8588,0.0023,76.0,1.0
-135.8524,0.0064,81.0,3.0
-135.8286,0.0238,84.0,2.0
-135.8186,0.01,87.0,5.0
-135.8128,0.0058,85.0,5.0
-135.8088,0.004,88.0,3.0
-135.7959,0.013,71.0,4.0
-135.7747,0.0211,54.0,3.0
-135.7547,0.02,57.0,6.0
-135.7375,0.0172,68.0,6.0
-135.7307,0.0069,76.0,3.0
-135.74,0.0093,82.0,6.0
-135.7563,0.0164,93.0,6.0
-135.7593,0.003,94.0,3.0
-135.7689,0.0096,93.0,7.0
-135.7911,0.0222,84.0,7.0
-135.8194,0.0283,84.0,3.0
-135.8634,0.044,87.0,8.0
-135.9133,0.0499,94.0,4.0
-135.964,0.0507,96.0,8.0
-136.0192,0.0552,92.0,8.0
-136.0794,0.0602,93.0,4.0
-136.1683,0.089,85.0,8.0
-136.2874,0.1191,76.0,8.0
-136.4025,0.1151,72.0,2.0
